Item,Price,Calories
Big Mac,5.69,570
Double Big Mac,7.19,730
Quarter Pounder With Cheese,5.69,530
Quarter Pounder Without Cheese,5.19,430
Quarter Pounder BLT,6.09,610
Double Quarter Pounder With Cheese,7.19,750
Double Quarter Pounder Without Cheese,6.59,650
Double Quarter Pounder BLT,7.49,890
McChicken,5.39,480
6 Chicken McNuggets,5.59,250
10 Chicken McNuggets,6.99,410
Filet-O-Fish,5.19,400
Double Filet-O-Fish,6.59,570
